year,quarter,31N,32N,33N,34N,35N,36N,37N,38N,39N,40N,41N,42N,43N,44N,45N,46N,47N
2010,1,0.31366666666666665,0.256,0.45366666666666666,0.27066666666666667,0.31566666666666665,0.4106666666666667,0.16,-0.015999999999999976,0.23966666666666667,0.09533333333333334,-0.5806666666666667,-0.35966666666666675,-0.8296666666666667,-0.437,-0.4343333333333333,-0.16566666666666666,-0.803
2010,2,0.5803333333333334,0.48900000000000005,0.6376666666666666,0.8583333333333334,1.1609999999999998,1.159,1.2243333333333333,1.062,1.4013333333333333,1.0783333333333334,0.777,0.9043333333333333,0.5036666666666666,0.015000000000000005,0.16033333333333333,0.10833333333333334,0.03733333333333333
2010,3,0.5536666666666666,0.4563333333333333,0.37133333333333335,0.476,0.5093333333333333,0.5513333333333333,0.6226666666666666,0.618,1.3523333333333334,1.6566666666666665,1.0416666666666667,1.0813333333333333,0.9620000000000001,0.432,0.36800000000000005,0.34400000000000003,0.25833333333333336
2010,4,0.26266666666666666,0.10300000000000002,0.30866666666666664,0.19800000000000004,0.14433333333333334,0.123,0.14033333333333334,0.18200000000000002,0.27133333333333337,0.11699999999999999,-0.3506666666666667,-0.41966666666666663,-0.6423333333333333,-0.5466666666666666,-0.5646666666666667,-0.25533333333333336,-0.6566666666666667
2011,1,0.17333333333333334,0.09233333333333332,0.20299999999999999,0.108,0.30633333333333335,0.253,0.37166666666666665,0.2836666666666667,0.291,0.13733333333333334,0.0020000000000000018,0.028666666666666656,-0.262,-0.25666666666666665,-0.13866666666666666,-0.09933333333333334,-0.4763333333333333
2011,2,0.7656666666666667,0.6563333333333333,0.7263333333333334,0.8783333333333333,0.8866666666666667,0.91,1.0576666666666668,0.916,1.3486666666666665,1.2383333333333333,0.7633333333333333,0.904,0.648,0.06566666666666666,0.20133333333333336,0.09566666666666668,0.09799999999999999
2011,3,0.6749999999999999,0.621,0.488,0.6256666666666667,0.5923333333333333,0.5086666666666667,0.7316666666666666,0.8146666666666667,1.4456666666666667,1.4963333333333333,1.0143333333333333,1.1523333333333332,0.9036666666666666,0.35966666666666663,0.30766666666666664,0.3076666666666667,0.14666666666666667
2011,4,0.20433333333333334,0.161,0.24766666666666667,0.213,0.23299999999999998,0.26033333333333336,0.20366666666666666,0.309,0.5616666666666666,0.4626666666666666,0.36166666666666664,0.27999999999999997,0.224,-0.057333333333333326,0.055333333333333325,-0.10933333333333334,-0.2796666666666667
2012,1,0.4463333333333333,0.25166666666666665,0.47100000000000003,0.36466666666666664,0.4363333333333333,0.38599999999999995,0.5,0.28033333333333327,0.39633333333333337,0.19433333333333333,-0.023333333333333355,-0.06266666666666666,-0.16733333333333333,-0.38033333333333336,-0.42733333333333334,-0.137,-0.597
2012,2,0.6349999999999999,0.503,0.548,0.8706666666666667,1.036,1.053,1.0593333333333332,0.8186666666666667,1.357,0.8463333333333333,0.7476666666666668,0.6333333333333333,0.40633333333333327,0.008333333333333333,0.151,0.079,-0.09066666666666667
2012,3,0.599,0.437,0.4003333333333334,0.48733333333333334,0.588,0.6293333333333333,0.7426666666666667,0.7403333333333334,1.2153333333333334,1.3340000000000003,0.9816666666666668,1.171,0.875,0.48133333333333334,0.51,0.3933333333333333,0.29866666666666664
2012,4,0.5193333333333333,0.35733333333333334,0.33066666666666666,0.27133333333333337,0.25866666666666666,0.246,0.11499999999999999,0.21066666666666667,0.213,-0.019666666666666666,-0.12,-0.22666666666666666,-0.261,-0.5723333333333332,-0.3216666666666666,-0.39966666666666667,-0.42
2013,1,0.5736666666666667,0.4286666666666667,0.424,0.49,0.8296666666666667,0.7543333333333333,0.6516666666666667,0.6223333333333333,0.8586666666666666,0.6890000000000001,0.49333333333333335,0.38800000000000007,0.22833333333333336,-0.07100000000000001,-0.067,-0.009999999999999997,-0.017
2013,2,1.0523333333333333,0.6150000000000001,0.5996666666666667,1.0543333333333333,1.17,1.147,0.9056666666666667,1.0126666666666668,1.4826666666666668,1.2466666666666668,0.8853333333333334,0.9886666666666667,0.638,0.26666666666666666,0.2353333333333333,0.12566666666666668,0.07966666666666666
